,Date,Con,Lab,LD,UKIP,GRN,SNP
0,2017-04-18,46.0,25.0,11.0,8.0,4.0,4.0
1,2017-04-19,48.0,24.0,12.0,7.0,2.0,0.0
2,2017-04-20,47.5,25.5,11.0,8.0,3.0,4.0
3,2017-04-21,48.0,25.0,12.0,5.0,2.0,0.0
4,2017-04-22,40.0,29.0,11.0,11.0,2.0,4.0
5,2017-04-23,40.0,29.0,11.0,11.0,2.0,4.0
6,2017-04-24,48.0,27.0,10.0,7.0,3.0,4.0
7,2017-04-25,48.0,27.0,10.0,7.0,3.0,4.0
8,2017-04-26,48.0,27.0,10.0,7.0,3.0,4.0
9,2017-04-27,48.0,27.0,10.0,7.0,3.0,4.0
10,2017-04-28,45.0,30.0,9.5,7.25,2.25,2.25
11,2017-04-29,45.0,30.0,9.5,7.25,2.25,2.25
12,2017-04-30,45.0,30.0,9.5,7.25,2.25,2.25
13,2017-05-01,45.0,30.0,9.5,7.25,2.25,2.25
14,2017-05-02,47.3333333333,27.3333333333,9.66666666667,6.66666666667,3.33333333333,3.66666666667
15,2017-05-03,47.0,29.5,9.5,6.0,2.0,2.0
16,2017-05-04,46.0,31.0,9.0,7.0,0.0,3.0
17,2017-05-05,46.5,28.0,10.5,7.0,3.0,2.0
18,2017-05-06,47.0,30.0,7.0,5.0,3.0,5.0
19,2017-05-07,49.0,27.0,9.0,6.0,3.0,4.0
20,2017-05-08,44.0,28.0,11.0,8.0,5.0,4.0
21,2017-05-09,48.0,31.0,8.0,5.0,2.0,4.0
22,2017-05-10,46.0,30.0,11.0,5.0,2.0,0.0
23,2017-05-11,46.0,32.0,8.0,6.0,0.0,5.0
24,2017-05-12,48.0,31.0,9.0,4.33333333333,2.33333333333,3.0
25,2017-05-13,48.0,30.0,8.0,4.0,2.0,4.0
26,2017-05-14,48.0,28.0,8.5,5.5,3.0,5.0
27,2017-05-15,47.0,31.0,7.5,5.5,3.5,4.5
28,2017-05-16,47.0,31.0,7.5,5.5,3.5,4.5
29,2017-05-17,46.6666666667,33.0,7.66666666667,4.33333333333,2.33333333333,3.0
30,2017-05-18,46.0,34.0,7.0,7.0,0.0,4.0
31,2017-05-19,44.0,35.0,9.0,3.0,2.0,0.0
32,2017-05-20,44.5,34.0,8.0,3.5,1.5,3.5
33,2017-05-21,47.0,33.0,9.0,4.0,2.0,0.0
34,2017-05-22,42.0,34.0,9.0,4.0,4.0,4.0
35,2017-05-23,42.0,34.0,9.0,4.0,4.0,4.0
36,2017-05-24,42.0,34.0,9.0,4.0,4.0,4.0
37,2017-05-25,44.0,37.0,8.0,4.66666666667,1.0,1.66666666667
38,2017-05-26,45.0,34.0,8.33333333333,4.66666666667,1.33333333333,1.33333333333
39,2017-05-27,43.0,37.0,8.0,4.0,1.0,2.0
40,2017-05-28,43.0,37.0,8.0,4.0,1.0,2.0
41,2017-05-29,45.0,33.0,8.0,5.0,3.0,4.0
